targa,cliente_id,marca,modello,versione,motore,telaio,data_immatricolazione,data_revisione,note,raw_promek
DM405RY,77b51261-e8aa-43ec-bc02-243d563cc106,FIAT,Ducato (4ª serie),Ducato 30 2.3 MJT PC-TN Furgone,F1AE0481D,ZFA25000001323675,2007-12-07,2019-12-03,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Ducato (4ª serie)"", ""versione_orig"": ""Ducato 30 2.3 MJT PC-TN Furgone""}"
DM439SE,54a0d0ca-cc59-4ac5-ac2b-99263600569c,BMW,Serie 3   (E90/E91),320d Futura,N47D20C,WBAVG91020VG46518,2008-02-26,2018-09-17,,"{""marca_orig"": ""BMW"", ""modello_orig"": ""Serie 3   (E90/E91)"", ""versione_orig"": ""320d Futura""}"
DM454MN,f632a322-f2b4-430b-86fd-8b6476698d42,HONDA,Jazz,1.2 S iDSI,L12A1,LUCGE273073212246,2008-02-14,2016-02-08,,"{""marca_orig"": ""Honda"", ""modello_orig"": ""Jazz"", ""versione_orig"": ""1.2 S iDSI""}"
DM457JW,6ab62444-73f4-457e-a579-d96c70a14bec,HONDA,Civic,1.4 iDSi,L13A7,SHHFK17608U002793,2008-01-31,2016-02-11,,"{""marca_orig"": ""Honda"", ""modello_orig"": ""Civic"", ""versione_orig"": ""1.4 iDSi""}"
DM463GE,6a506c3e-5264-4581-9178-2fe28c094c3f,FIAT,Croma (2005-2011),Croma 1.9 MJT Classic,939A1000,ZFA19400002097064,2008-04-21,2024-07-10,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Croma (2005-2011)"", ""versione_orig"": ""Croma 1.9 MJT Classic""}"
DM474MN,002cd6d6-39ef-41e5-917a-b9fd67969adf,HONDA,Jazz 1ª serie 01-08,Jazz 1.2 i-DSi,"L12A4,L12A1",LUCGE273073212572,2008-02-28,2018-03-23,,"{""marca_orig"": ""HONDA"", ""modello_orig"": ""Jazz 1ª serie 01-08"", ""versione_orig"": ""Jazz 1.2 i-DSi""}"
DM513DP,a2680af9-af9d-4877-a3f5-874c7ec270f2,CHRYSLER,,,,1C3ACC6A57N511217,2007-11-09,2021-12-30,,"{""marca_orig"": ""CHRYSLER"", ""altro"": ""SEBRING 2.0 TD - MOT. BYL - 103 KW""}"
DM517MN,3546987b-b40b-4de3-b5b9-e759b9c18e91,DACIA,Logan 1ª serie,Logan MCV 1.6 16V 5 posti Lauréate,K4M690,UU1KSDAM539085454,2008-01-28,2020-02-25,,"{""marca_orig"": ""DACIA"", ""modello_orig"": ""Logan 1ª serie"", ""versione_orig"": ""Logan MCV 1.6 16V 5 posti Lauréate""}"
DM527VD,765c655d-d5ea-4081-8e41-04bbaaad660a,MERCEDES-BENZ,Classe B,B180 2.0 CDi Elegance,640940,,2008-08-01,,,"{""marca_orig"": ""Mercedes"", ""modello_orig"": ""Classe B"", ""versione_orig"": ""B180 2.0 CDi Elegance""}"
DM528BG,30d0023b-8ab2-4a3f-802b-be7eaf06743c,FIAT,Grande Punto,Grande Punto 1.2 3p. Active,199A4000,ZFA19900000351719,2008-05-30,2024-08-05,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Grande Punto"", ""versione_orig"": ""Grande Punto 1.2 3p. Active""}"
DM534DL,82f9f436-b852-43d8-8db9-2c94012f061b,FORD,Trans/Tour Connect,Transit Connect 200S 1.8 TDCi/90CV PC-TN,R3PA,WF0TXXTTPT7T41301,2007-12-05,2022-02-11,,"{""marca_orig"": ""FORD"", ""modello_orig"": ""Trans/Tour Connect"", ""versione_orig"": ""Transit Connect 200S 1.8 TDCi/90CV PC-TN""}"
DM546AP,77395489-3420-45ee-a630-8541d0daed63,CITROËN,C3 1ª serie,C3 1.1 Classique,"TU1A,HFX",VF7FCHFXC29012759,2007-11-13,2017-12-05,,"{""marca_orig"": ""CITROËN"", ""modello_orig"": ""C3 1ª serie"", ""versione_orig"": ""C3 1.1 Classique""}"
DM612MN,23d014f6-d9dd-4f19-a595-94910fa1b955,FIAT,Ducato (4ª serie),Ducato 30 2.3 MJT PC-TN Furgone,F1AE0481D,ZFA25000001377835,2008-02-11,2022-03-11,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Ducato (4ª serie)"", ""versione_orig"": ""Ducato 30 2.3 MJT PC-TN Furgone""}"
DM616TA,3f77fc81-29ae-4a79-ad0c-008f3a7d72dd,MERCEDES-BENZ,Classe A   (W/C169),180 CDI Ber. 3p/d/1991cc,640940,WDD1693071J520057,2008-01-30,2018-01-13,,"{""marca_orig"": ""MERCEDES-BENZ"", ""modello_orig"": ""Classe A   (W/C169)"", ""versione_orig"": ""180 CDI Ber. 3p/d/1991cc""}"
DM632BF,5359cab6-4f8a-48fa-a077-03ac1f1f2124,FIAT,Doblò,1.3 JTD Multijet,199A2000,ZFA22300005613329,2008-05-16,2018-01-02,,"{""marca_orig"": ""Fiat"", ""modello_orig"": ""Doblò"", ""versione_orig"": ""1.3 JTD Multijet""}"
DM650MJ,500ae4b4-ff9f-40b3-9997-2b780c089e1b,FIAT,500,1.2,169A4000,ZFA31200000080413,2008-02-19,2016-02-04,,"{""marca_orig"": ""Fiat"", ""modello_orig"": ""500"", ""versione_orig"": ""1.2""}"
DM711JY,3ff2be7e-18ba-49e3-a12c-facbeffc55c7,LANCIA,Ypsilon 2ª serie,Ypsilon 1.3 MJT 75 CV Argento,199A2000,ZLA84300003138974,2007-11-28,2020-08-06,,"{""marca_orig"": ""LANCIA"", ""modello_orig"": ""Ypsilon 2ª serie"", ""versione_orig"": ""Ypsilon 1.3 MJT 75 CV Argento""}"
DM719NF,67e431c6-3b7a-4533-8c50-78f304d940b9,OPEL,Vivaro,2.5 CDTiPF,G9U630,WOLF7BJDH8Y725196,2008-03-05,,,"{""marca_orig"": ""Opel"", ""modello_orig"": ""Vivaro"", ""versione_orig"": ""2.5 CDTiPF""}"
DM728MJ,4b96826a-85d0-4bf6-96f6-747b07ea2731,RENAULT,Modus,1.5 DCi,K9K760,VF1JP0FF539532897,2008-03-04,2016-03-29,,"{""marca_orig"": ""Renault"", ""modello_orig"": ""Modus"", ""versione_orig"": ""1.5 DCi""}"
DM741BK,acf779fe-2444-4741-870d-62c2ba89fa39,LANCIA,Ypsilon 2ª serie,Ypsilon 1.2 Argento,188A4000,ZLA84300003207510,2008-09-30,2020-01-27,,"{""marca_orig"": ""LANCIA"", ""modello_orig"": ""Ypsilon 2ª serie"", ""versione_orig"": ""Ypsilon 1.2 Argento""}"
DM748JX,65931887-c88a-4d10-9b3c-afb5e7fe0117,OPEL,Zafira 2ª serie,Zafira 1.6 ecoM 94 CV Club,Z16YNG,W0L0AHM7582060620,2008-01-22,2018-01-22,,"{""marca_orig"": ""OPEL"", ""modello_orig"": ""Zafira 2ª serie"", ""versione_orig"": ""Zafira 1.6 ecoM 94 CV Club""}"
DM752DL,bf46c892-869d-4328-8518-d107a2a85b6e,FIAT,500,1.2,169A4000,ZFA31200000041374,2007-12-04,2014-01-30,,"{""marca_orig"": ""Fiat"", ""modello_orig"": ""500"", ""versione_orig"": ""1.2""}"
DM797MK,2551d517-ebd8-4a97-a2a0-811790bed643,VOLKSWAGEN,Tiguan 1ª serie,Tiguan 2.0 16V TDI tip Track&Field (28°),"CBAB,CBA",WVGZZZ5NZ8W001868,2008-02-04,2018-04-11,,"{""marca_orig"": ""VOLKSWAGEN"", ""modello_orig"": ""Tiguan 1ª serie"", ""versione_orig"": ""Tiguan 2.0 16V TDI tip Track&Field (28°)""}"
DM801MK,6e33a254-e5f1-41f9-983f-40eaf2188d70,HONDA,Civic,1.8 iVTEC,R18A2,SHHFK27607U045624,2007-12-20,2015-12-15,,"{""marca_orig"": ""Honda"", ""modello_orig"": ""Civic"", ""versione_orig"": ""1.8 iVTEC""}"
DM831WR,5c7067f2-d815-4d34-aa47-7238876c648b,AUDI,A6 3ª serie,2.7 V6 TDI FAP SW 5p/d/2698cc,BPP,WAUZZZ4F18N102788,2008-02-13,2018-02-28,,"{""marca_orig"": ""AUDI"", ""modello_orig"": ""A6 3ª serie"", ""versione_orig"": ""2.7 V6 TDI FAP SW 5p/d/2698cc""}"
DM835XY,ec845afd-1b5b-45cd-87e1-e8e91025a7c1,FIAT,Ducato (4ª serie),Ducato 33 2.3 MJT PM-TN Furgone,F1AE0481D,ZFA25000001482478,2008-10-29,,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Ducato (4ª serie)"", ""versione_orig"": ""Ducato 33 2.3 MJT PM-TN Furgone""}"
DM839MK,ff3328fc-a3ad-4466-9e32-aa090f0c3a98,HONDA,Civic,1.4 iDSi,L13A7,SHHFK17607U016316,2008-01-30,2016-01-08,,"{""marca_orig"": ""Honda"", ""modello_orig"": ""Civic"", ""versione_orig"": ""1.4 iDSi""}"
DM840AR,54a0d0ca-cc59-4ac5-ac2b-99263600569c,BMW,X5,3.0d (xDrive),N57306D3,WBAFF41080L066144,2007-11-02,2017-11-27,,"{""marca_orig"": ""Bmw"", ""modello_orig"": ""X5"", ""versione_orig"": ""3.0d (xDrive)""}"
DM874WR,197497dd-3c9e-487d-b9cd-8577673a2c09,MERCEDES-BENZ,Classe A   (W/C169),A 180 CDI Classic,640940,WDD1690071J584808,2008-02-14,2021-01-28,,"{""marca_orig"": ""MERCEDES-BENZ"", ""modello_orig"": ""Classe A   (W/C169)"", ""versione_orig"": ""A 180 CDI Classic""}"
DM888LG,e1de1b1e-f46a-4061-8c79-7f06678ec6ce,LANCIA,Ypsilon,1.2,188A4000,ZLA84300003209581,2006-06-26,2016-06-01,,"{""marca_orig"": ""Lancia"", ""modello_orig"": ""Ypsilon"", ""versione_orig"": ""1.2""}"
DM896ML,73e2e02f-2324-4fb4-8559-cf0c82c218f9,FIAT,Scudo,2.0 HDi FAP,RHR,ZFA27000064132235,2008-01-14,2016-03-25,,"{""marca_orig"": ""Fiat"", ""modello_orig"": ""Scudo"", ""versione_orig"": ""2.0 HDi FAP""}"
DM901EE,ed4366a2-731d-41a9-b5d9-4850bfbc097b,LANCIA,Ypsilon,1.4 Argento,350A1000,ZLA84300003090407,2007-12-31,2018-03-30,,"{""marca_orig"": ""Lancia"", ""modello_orig"": ""Ypsilon"", ""versione_orig"": ""1.4 Argento""}"
DM911MH,5194e5ca-160d-4901-9250-a980aa61b6fc,BMW,Serie 3,318d 2.0,N47D20A,WBAVW11040A271207,2007-11-26,2015-11-23,,"{""marca_orig"": ""Bmw"", ""modello_orig"": ""Serie 3"", ""versione_orig"": ""318d 2.0""}"
DM956XM,3e377754-472d-4f0a-afde-ea2db3b0e47b,FIAT,Bravo 2ª serie,Bravo 1.4 T-jet 120 CV Active,198A4000,ZFA19800004148859,2008-03-31,2024-05-23,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Bravo 2ª serie"", ""versione_orig"": ""Bravo 1.4 T-jet 120 CV Active""}"
DN029MK,f82fedc1-e546-4a5f-b578-aa88c4c2f98d,FIAT,Doblò 2ª serie,Doblò 1.9 MJT 120 CV Dynamic,186A9000,ZFA22300005597272,2008-02-28,2022-05-25,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Doblò 2ª serie"", ""versione_orig"": ""Doblò 1.9 MJT 120 CV Dynamic""}"
DN064NA,65e70723-677c-45c6-863d-8cefa2eaa8da,VOLKSWAGEN,Golf,1.9 TDi,BXE,WVWZZZ1KZ8M312025,2008-03-28,2016-03-30,,"{""marca_orig"": ""Volkswagen"", ""modello_orig"": ""Golf"", ""versione_orig"": ""1.9 TDi""}"
DN077KN,06120af4-f7d5-4466-a127-d43ed674915e,IVECO,Daily (2006-2009),,,,,,,"{""marca_orig"": ""IVECO"", ""modello_orig"": ""Daily (2006-2009)""}"
DN081EB,5e4cecea-813b-44aa-8047-3ce880512c3f,SEAT,Ibiza,1.4,BXW,VSSZZZ6LZ8R075900,2008-02-26,2016-07-01,,"{""marca_orig"": ""Seat"", ""modello_orig"": ""Ibiza"", ""versione_orig"": ""1.4""}"
DN082XH,54a0d0ca-cc59-4ac5-ac2b-99263600569c,AUDI,A6,3.0 TDi (quattro),ASB,WAUZZZ4F48N057023,2008-03-28,2018-03-23,,"{""marca_orig"": ""Audi"", ""modello_orig"": ""A6"", ""versione_orig"": ""3.0 TDi (quattro)""}"
DN111YX,23bd2ffc-6938-4ece-beee-4483a0d61312,VOLKSWAGEN,Golf,1.9 TDi,BLS,WVWZZZ1KZ7W259107,2008-03-31,2017-05-25,,"{""marca_orig"": ""Volkswagen"", ""modello_orig"": ""Golf"", ""versione_orig"": ""1.9 TDi""}"
DN209AG,4d3fee8b-94d1-48d9-8785-a5034051e454,MINI,Mini,1.6,N12B16A,WMWMF31040TS78475,2008-02-21,2018-02-20,,"{""marca_orig"": ""Mini"", ""modello_orig"": ""Mini"", ""versione_orig"": ""1.6""}"
DN223ZN,5c9ccba2-1422-49f2-a004-60bdadd0c593,FORD,C-Max 1ª serie,1.6 TDCi DPF (80Kw) Mnv 5p/d/1560cc,G8DB,WF0EXXGCDE8B89079,2008-02-22,2014-07-04,,"{""marca_orig"": ""FORD"", ""modello_orig"": ""C-Max 1ª serie"", ""versione_orig"": ""1.6 TDCi DPF (80Kw) Mnv 5p/d/1560cc""}"
DN271NA,e2859cf6-ead0-4b3d-bffb-128ee4c4cb7a,AUDI,A3 2ª serie,2.0 TDI FAP (103Kw) Ber. 3p/d/1968cc,"BMM,CBAB",WAUZZZ8P98A128369,2008-04-23,,,"{""marca_orig"": ""AUDI"", ""modello_orig"": ""A3 2ª serie"", ""versione_orig"": ""2.0 TDI FAP (103Kw) Ber. 3p/d/1968cc""}"
DN274EA,187fc30b-8112-470d-8201-26be5d40d850,HONDA,CR-V,2.2 i-CTDi (4x4),N22A2,SHSRE67508U008287,2008-02-08,2018-05-18,,"{""marca_orig"": ""Honda"", ""modello_orig"": ""CR-V"", ""versione_orig"": ""2.2 i-CTDi (4x4)""}"
DN279DX,d03d67b2-3a3f-4f87-8183-39cfdd486efe,PEUGEOT,207,1.4 VTi 95 CV 3p. ONE Line,"EP3,8FS",VF3WA8FSC34109289,2008-01-25,2018-11-24,,"{""marca_orig"": ""PEUGEOT"", ""modello_orig"": ""207"", ""versione_orig"": ""1.4 VTi 95 CV 3p. ONE Line""}"
DN279GG,63b5a1db-ac4f-4971-bef1-11d43b5939fd,MERCEDES-BENZ,Classe C   (W/S204),,,WDD2040461A102264,2008-09-30,2020-10-15,,"{""marca_orig"": ""MERCEDES-BENZ"", ""modello_orig"": ""Classe C   (W/S204)""}"
DN284MY,5a58f883-c095-4a9d-b0f4-13bad96b65ac,CITROËN,C3 1ª serie,,,VF7FR8HZC29096480,2008-04-02,2018-10-16,,"{""marca_orig"": ""CITROËN"", ""modello_orig"": ""C3 1ª serie""}"
DN289DY,e038630d-3eb6-44fa-8e58-5a0b28f46a17,ALFA ROMEO,159,1.9 JTDm (88Kw) SW 5p/d/1910cc,"939A1000,939A7000",,2008-03-31,2018-03-24,,"{""marca_orig"": ""ALFA ROMEO"", ""modello_orig"": ""159"", ""versione_orig"": ""1.9 JTDm (88Kw) SW 5p/d/1910cc""}"
DN292MT,c0bd81fe-1fbb-4b6c-897d-5c00adc9f136,FIAT,500 (2007-2016),500 1.2 Pop,"M812,169A4000",ZFA31200000099781,2008-03-31,2018-12-06,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""500 (2007-2016)"", ""versione_orig"": ""500 1.2 Pop""}"
DN321YG,79c48bff-eaa8-499d-bd38-011962c194cf,VOLKSWAGEN,Golf 5ª serie,Golf 1.6 16V FSI 5p. Comfortline,BLP,WVWZZZ1KZ7P065115,2008-03-26,2020-07-02,,"{""marca_orig"": ""VOLKSWAGEN"", ""modello_orig"": ""Golf 5ª serie"", ""versione_orig"": ""Golf 1.6 16V FSI 5p. Comfortline""}"
DN329DW,6a8b4257-d3f0-4826-a568-6db38180baaa,,,,,VF1BBCU0539457557,2008-03-10,2016-03-29,,"{""altro"": ""RENAULT CLIO 1.2""}"
DN339YV,12b7986b-086a-4d7e-9cf2-ebd19ebe6d9f,,,,,,,,,"{""altro"": ""IVECO Stralis AS 420S40""}"
DN369MV,5a4039ec-4187-4fec-bb38-0f5757555c6a,FORD,Focus 2ª serie,Focus+ 1.6 TDCi 90CV 5p.,HHDA,WF0PXXWPDP8R74190,2008-02-29,2024-06-28,,"{""marca_orig"": ""FORD"", ""modello_orig"": ""Focus 2ª serie"", ""versione_orig"": ""Focus+ 1.6 TDCi 90CV 5p.""}"
DN386NA,d42a2b27-09c0-4cc0-a949-cdf609e2c21a,FIAT,500,1.2,169A4000,ZFA31200000115334,2008-04-23,2018-04-03,,"{""marca_orig"": ""Fiat"", ""modello_orig"": ""500"", ""versione_orig"": ""1.2""}"
DN391PH,32fc4740-ffa9-4628-aa62-01d62feb5b0c,MERCEDES-BENZ,Classe A   (W/C169),A 180 CDI Classic,640940,WDD1690071J523670,2008-03-31,2020-07-25,,"{""marca_orig"": ""MERCEDES-BENZ"", ""modello_orig"": ""Classe A   (W/C169)"", ""versione_orig"": ""A 180 CDI Classic""}"
DN395MV,fc063c1a-fde7-4963-afe5-cd3f9f4ded25,HONDA,Civic,1.4 iDSi,L13A7,SHHFK17608U003345,2008-02-29,2016-02-03,,"{""marca_orig"": ""Honda"", ""modello_orig"": ""Civic"", ""versione_orig"": ""1.4 iDSi""}"
DN416MZ,18f88128-79b8-46be-a93e-920c7da7aa9f,VOLKSWAGEN,Golf,1.9 TDi,BKC,WVWZZZ1KZ8W549969,2008-03-28,2018-03-26,,"{""marca_orig"": ""Volkswagen"", ""modello_orig"": ""Golf"", ""versione_orig"": ""1.9 TDi""}"
DN420AE,54a0d0ca-cc59-4ac5-ac2b-99263600569c,AUDI,A4,2.0 TDI,CAGA,WAUZZZ8K28N005462,2008-02-13,2018-01-30,,"{""marca_orig"": ""Audi"", ""modello_orig"": ""A4"", ""versione_orig"": ""2.0 TDI""}"
DN437YV,91e7e24f-5e29-4f72-a7b0-e2faba34a9c9,CITROËN,Berlingo,1.6 16V HDi 90CV 5p. Seduction,"DV6ATED4,9HX",VF7GJ9HXC93500196,2008-03-12,2023-03-10,,"{""marca_orig"": ""CITROËN"", ""modello_orig"": ""Berlingo"", ""versione_orig"": ""1.6 16V HDi 90CV 5p. Seduction""}"
DN456MV,09b4bc3b-ec2c-47b1-b290-f810acfb38d2,HONDA,CR-V 3ª serie 07-10,2.2 16V DOHC i-CTDi SUV 5p/d/2204cc,N22A2,SHSRE67708U008410,2008-03-10,2016-04-28,,"{""marca_orig"": ""HONDA"", ""modello_orig"": ""CR-V 3ª serie 07-10"", ""versione_orig"": ""2.2 16V DOHC i-CTDi SUV 5p/d/2204cc""}"
DN469EA,03304de3-acdd-4547-84e6-a44b39056e98,FORD,Focus 2ª s. 08-11,Focus+ 1.6 TDCi 110CV SW DPF,"G8DD,G8DB",WF0SXXGCDS8R29176,2008-02-27,2018-02-24,,"{""marca_orig"": ""FORD"", ""modello_orig"": ""Focus 2ª s. 08-11"", ""versione_orig"": ""Focus+ 1.6 TDCi 110CV SW DPF""}"
DN519MY,68f93687-875d-4c4d-a3d4-6ee1d995705f,PEUGEOT,Ranch (Partner),1.6 HDi,DV6B,VF3GB9HWC8J066657,2008-05-13,2016-05-20,,"{""marca_orig"": ""Peugeot"", ""modello_orig"": ""Ranch (Partner)"", ""versione_orig"": ""1.6 HDi""}"
DN532TZ,655525e2-324e-46f3-9615-dc62ac4c6672,SKODA,Octavia 2ª serie,Octavia 1.6 Wagon Ambiente,"BGU,BSE",TMBHA21Z982151802,2008-04-17,2018-04-26,,"{""marca_orig"": ""SKODA"", ""modello_orig"": ""Octavia 2ª serie"", ""versione_orig"": ""Octavia 1.6 Wagon Ambiente""}"
DN533DY,359d57b1-b36c-43d5-bbab-2fcfada1ba2c,FIAT,Punto 3ª serie,Punto Classic 1.2 3p.,188A4000,ZFA18800001053002,2008-01-15,2024-01-05,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Punto 3ª serie"", ""versione_orig"": ""Punto Classic 1.2 3p.""}"
DN549DW,8f150880-0d62-4409-91b6-e16af2665f17,FIAT,500 (2007-2016),500 1.3 MJT 75CV Pop,"M73,169A1000",ZFA31200000061360,2008-01-17,2020-01-23,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""500 (2007-2016)"", ""versione_orig"": ""500 1.3 MJT 75CV Pop""}"
DN552NV,83e1eaa0-1ce8-47fc-a8a5-e001833614cc,CHEVROLET,Captiva,Captiva 2.0 VCDi LS,"LLW,Z20DMH,Z20S",KL1CG26RJ8B168994,2008-03-26,2018-02-28,,"{""marca_orig"": ""CHEVROLET"", ""modello_orig"": ""Captiva"", ""versione_orig"": ""Captiva 2.0 VCDi LS"", ""altro"": ""CHEVROLET CAPTIVA 2.0 D""}"
DN556XK,1291a16c-6322-464f-9719-551299998d62,VOLKSWAGEN,Caddy 3ªs. Tour. 1ª,Caddy 2.0 SDI 70CV 4p. Van,"BST,BDJ",WV1ZZZ2KZ8X113634,2008-04-10,,,"{""marca_orig"": ""VOLKSWAGEN"", ""modello_orig"": ""Caddy 3ªs. Tour. 1ª"", ""versione_orig"": ""Caddy 2.0 SDI 70CV 4p. Van""}"
DN605GC,733dd237-256d-44fe-aaff-1709ae5e295d,CITROËN,Nemo,Nemo 1.4 HDi 70CV Furgone,"DV4TED,8HS",VF7AA8HSC84207652,2008-05-30,2024-03-05,,"{""marca_orig"": ""CITROËN"", ""modello_orig"": ""Nemo"", ""versione_orig"": ""Nemo 1.4 HDi 70CV Furgone""}"
DN618NC,2213d491-3753-4135-9f20-8416c4e5811d,NISSAN,,,,VWANFFTK074032676,2008-03-13,,,"{""marca_orig"": ""NISSAN"", ""altro"": ""ATHLEON 35-15""}"
DN622JR,84ad9daa-cd53-4589-83f1-db978b26fe72,AUDI,A3 2ª serie,A3 SPB 2.0 TDI 170CV S tr. Ambiente,"CBBB,CBB,BMN",WAUZZZ8P98A075642,2008-03-03,2022-07-19,,"{""marca_orig"": ""AUDI"", ""modello_orig"": ""A3 2ª serie"", ""versione_orig"": ""A3 SPB 2.0 TDI 170CV S tr. Ambiente""}"
DN625XM,82f8171e-37ea-428a-8760-9e6d20a4dff1,ISUZU,,,,JAANPR85L77102714,2008-09-01,2025-05-05,,"{""marca_orig"": ""ISUZU"", ""altro"": ""NPR85-5DX 3.0d 110KW/150 CV""}"
DN644MS,bcdda3f2-2528-46ce-a361-45085cc99b6a,MERCEDES-BENZ,Sprinter 3ªs.(W906),Sprinter T43/35 418 CDI Cabinato,642992,WDB9066571S238486,2008-04-02,2017-09-28,,"{""marca_orig"": ""MERCEDES-BENZ"", ""modello_orig"": ""Sprinter 3ªs.(W906)"", ""versione_orig"": ""Sprinter T43/35 418 CDI Cabinato"", ""altro"": ""518 PULMINO""}"
DN647EB,e1146e55-de77-4028-a745-4c9cc243f647,NISSAN,Micra 3ª serie,Micra 1.5d 86 CV 5p. Jive,K9K,SJNFDAK12U2254988,2008-02-29,2020-03-06,,"{""marca_orig"": ""NISSAN"", ""modello_orig"": ""Micra 3ª serie"", ""versione_orig"": ""Micra 1.5d 86 CV 5p. Jive""}"
DN655MY,9a5728f8-af3e-4eaa-9af8-093cc80cf9f9,PEUGEOT,207,1.6 HDi,DV6ATED4,VF3WA9HXC33900386,2008-04-22,2018-04-10,,"{""marca_orig"": ""Peugeot"", ""modello_orig"": ""207"", ""versione_orig"": ""1.6 HDi""}"
DN67987,4e062cf0-4416-4fd0-9231-93c65381ca6f,,,,,5MZKX03R0AEF00798,,,,"{""altro"": ""BUELL XB12S""}"
DN685CV,235f0f23-29df-4ae8-8ad0-2c33cd488d97,ALFA ROMEO,147 2ª serie,147 1.9 JTD 120CV 5p. Distinctive,937A3000,ZAR93700005270500,2008-01-08,2018-01-19,,"{""marca_orig"": ""ALFA ROMEO"", ""modello_orig"": ""147 2ª serie"", ""versione_orig"": ""147 1.9 JTD 120CV 5p. Distinctive""}"
DN694EB,42ef578b-7ee9-4023-a014-f58db81d72c8,FIAT,Panda 2ª serie,Panda 1.2 Dynamic,188A4000,ZFA16900001100351,2008-03-20,2022-03-04,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Panda 2ª serie"", ""versione_orig"": ""Panda 1.2 Dynamic""}"
DN705DX,7cfc502a-7901-4826-9855-d5b8fefdb2d1,FORD,Focus,1.6 TDCi,G8DA,WF0SXXGCDS7P53838,2008-01-29,2015-12-21,,"{""marca_orig"": ""Ford"", ""modello_orig"": ""Focus"", ""versione_orig"": ""1.6 TDCi""}"
DN731DZ,60a3e1ef-be4b-4e3d-80e3-eeeb9b001f08,VOLKSWAGEN,Golf,1.9 TDi,BKC,WVWZZZ1KZ7W263885,2007-05-15,2015-06-15,,"{""marca_orig"": ""Volkswagen"", ""modello_orig"": ""Golf"", ""versione_orig"": ""1.9 TDi""}"
DN735YV,705c957d-c650-4064-b7c3-02b61716f148,RENAULT,Clio 3ª serie,Clio 1.2 5p. Dynamique,"D4FD7,D4F740",VF1BR1E0539441002,2008-03-14,2022-02-21,,"{""marca_orig"": ""RENAULT"", ""modello_orig"": ""Clio 3ª serie"", ""versione_orig"": ""Clio 1.2 5p. Dynamique""}"
DN758ZW,c1764dd5-923f-4658-9196-7ea831eccbd7,LANCIA,Ypsilon,1.2,188A4000,ZLA84300003189545,2008-02-19,,,"{""marca_orig"": ""Lancia"", ""modello_orig"": ""Ypsilon"", ""versione_orig"": ""1.2""}"
DN762MY,0bb6b4c6-66f1-44af-bf18-d97b0ed065ae,PEUGEOT,Expert 3ª serie,Expert 2.0 HDi 120CV PC-TN 10Q Furgone,"RHK,DW10UTED4",VF3XSRHKH64171420,2008-05-05,2022-06-27,,"{""marca_orig"": ""PEUGEOT"", ""modello_orig"": ""Expert 3ª serie"", ""versione_orig"": ""Expert 2.0 HDi 120CV PC-TN 10Q Furgone""}"
DN771DZ,bcdda3f2-2528-46ce-a361-45085cc99b6a,,,,,,,,,"{""altro"": ""IVECO DAILY IV 35S14, 35S14 /P""}"
DN787WF,ade5a940-a772-441f-9fdb-306ddfd0388f,FIAT,Ducato (4ª serie),Ducato 35 2.3 MJT PM-TM Furgone,F1AE0481D,ZFA25000001408759,2008-03-20,2020-07-24,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Ducato (4ª serie)"", ""versione_orig"": ""Ducato 35 2.3 MJT PM-TM Furgone""}"
DN858NA,245027f6-c4c9-43b9-a346-5d7264b59a3e,MERCEDES-BENZ,Classe A,A180 2.0 CDi Classic,640940,WDD1693071J595443,2008-03-31,2016-10-10,,"{""marca_orig"": ""Mercedes"", ""modello_orig"": ""Classe A"", ""versione_orig"": ""A180 2.0 CDi Classic""}"
DN868XF,cfee045b-ec7d-4154-ad05-f1f623869150,HONDA,Accord 8ª serie,Accord 2.2 i-DTEC Tourer Elegance,N22B1,JHMCN15508C203540,2008-02-29,2019-01-09,,"{""marca_orig"": ""HONDA"", ""modello_orig"": ""Accord 8ª serie"", ""versione_orig"": ""Accord 2.2 i-DTEC Tourer Elegance""}"
DN868YW,2790101b-d2d3-4db5-94d6-7a4205758dd4,RENAULT,Clio 3ª serie,Clio 1.2 5p. Dynamique,"D4F740,D4FD7",VF1BRCJ0H39356455,2008-03-13,2018-07-16,,"{""marca_orig"": ""RENAULT"", ""modello_orig"": ""Clio 3ª serie"", ""versione_orig"": ""Clio 1.2 5p. Dynamique""}"
DN894DA,bbcf2e05-7456-4691-aa7f-2322d146c692,IVECO,Daily (2006-2009),Daily 35C18V 3.0 Hpt PL-TA-RG Furgone,F1CE0481H,,,,,"{""marca_orig"": ""IVECO"", ""modello_orig"": ""Daily (2006-2009)"", ""versione_orig"": ""Daily 35C18V 3.0 Hpt PL-TA-RG Furgone""}"
